full_text,sentiment
"Звук не плохой, максимальная громкость высокая, крепко держатся и от них не болят уши Отличные наушники за свои деньги Минусов нет",positive
"Ничего. Подключалась 3 дня еле подключилась, но это ладно еще. Через три дня выпал контакт снизу из наушника видимо на сопли лепили. Итог: один наушник работает, а другой нет. Чувствительные до того что дотронуться нельзя вообще, из-за этого невозможно даже поправить наушник тут же выключается, либо переключает на другой музыкальный трек. До этого заказывала за такую же цену у другого продавца работали пол года. Я конечно понимаю что наушники дешевые, но три дня работы новых наушников- это слишком!",positive
"Сразу после первого подключения не работал второй наушник, после нескольких минут сконнектился) звук норм за эти денежки волшебный я бы сказала. И нет басов",positive
Ничего нового наушники так и лежат не работают ребёнка отправила при получении вот и не проверили сразу щас они дома лежат,negative
"Пока всё работает. Звук чистый, басы на месте, тач тоже четко работает (1, 2 нажатия). Подключились без проблем к Андроид. Живучесть? Покажет время. Из минусов: немного не до конца захлопывается крышка. Торчит тонюсенькая желтая линия. Будет ои это влиять на заряд? Не уверена, но поюзаю - потом дополню мб.",positive
"Когда у тебя есть дети, не расчитывай долго пользоваться новыми наушниками.....! 😊 Опять отжали..... 😂😂😂😂 Наушники понравились сыну, пришлось отдать. Хорошие наушники, удобные и не слишком громкие, шумоподавление есть, к андроиду подключаются моментально. Если один наушник разрядился, можно убрать в коробочку для зарядки, а вторым пользоваться. Спасибо производителю за качество и доставке - за бережное отношение к заказу! Рекомендую!!! 👍",positive
"Афигенные наушники, заказываю уже вторые потому что первые были брак, думал и эти бракованные будут но нет я удивился когда подключил, мне всё нравится",positive
"Брала для 1 видео, думала даже работать не будут. Я была очень приятно удивлена, что они включились и даже законектились. Звук нормальный, главное не сравнивать с другими наушниками. Через неделю стали вредничать с подключением, чтобы подключить сразу два нужны танцы с бубнами, а еще упало качество звука, но несильно. Прошло уже несколько месяцев и они все еще пашут как милые",positive
"Возврат не одобряют, бракованный товар не хотят принимать обратно Одни минусы , ужасный товар Не заряжаются, индикатор не горит, не красным, не зеленым, один наушник вообще не рабочий, подключение к блютус плохое.",negative
Наушники слишком громкие . То что выдавали мои прошлые наушники на максимально громкости и то тише чем эти на 2 делении я когда их подключал я испугался .,neutral
"Левый наушник разряжается за 2 минуты, хотя правый наушники работает отлично. На зарядке стояли весь день но ничего не помогло. 1 звезда",negative
"Лучшая покупка за последний год. Брал на смену старым AirPods. По качеству звука они обходят многие модели дороже 20 тысяч рублей. Настроил звучание под себя через фирменное приложение — эквалайзер очень гибкий. Микрофон тоже порадовал, собеседники слышат меня четко даже на ветру. Однозначно рекомендую к покупке!",positive
Ставлю 3 звёзды так как один товар пришёл бракованный  Заказывал 2 пары одна пара пришла с дефектом так как работает только один наушник а в другом нету звука а вторая пара пришла целая,neutral
"Я забрал наушники нетпроверяв их, и там был на правом наушнике был не припаян проводок и звука не было. Пришлось самому паять этот провод. Звук Был оторван провод на наушнике и не было звука",negative
"Внешний вид хороший, и качество звука также очень хорошее. Самое главное, что есть также защитная крышка и сменная крышка для наушников.",positive
"Упакован товар в коробку. Соответствует карточке товара. Звук хороший, быстрое подключение и пришли заряжены на 100%. В комплекте провод зярдный, сменные амбушюры разных размеров, что позволит вам подобрать подходящий для вас вариант.",positive
"наушники рекомендую, пришло быстро, без задержек, товар стоит своих денег хорошая упаковка + чехол в подарок, хороший звук за свою цену, на айфоне определяется как airpods pro и проигрываются анимации все в порядке",positive
Давно искал что то похожее и наконец то нашел Неплохое звучание и хороший дизайн ещё в комплекте идёт чехол под них что является ещё одним плюсом,positive
"Мне нравятся эти наушники. Я куплю еще один для своего друга. Качество звука очень хорошее, и связь по Bluetooth также очень быстрая! Ничего нету.",positive
- ANC-шумоподавление (блокирует внешние шумы) ​ - Чистый звук с басами и объемным звучанием ​ - Долгая работа: до 24 часов с кейсом ​ - Удобные в носке и легкие ​ - Быстрое Bluetooth-соединение без задержек ​ - Защита от влаги/пота ​ - Сенсорное управление,positive
"Сколько держит заряд на деле не проверяла, но пришли они заряжены на 100%. В комплекте чехол, зарядный провод на Type-C=Type-C, так же амбушюры 4 размеров (3 на вкладыше 1 на самих наушниках) Наушники пришли быстро. Комплектация соответствует карточке. Звук хороший, подключение выполнено за пару секунд, быстро. Звук хороший.",positive
"Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся. Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся. Наушники мгновенно подключаются к моему телефону, качество звука отличное, в комплекте даже есть запасные амбушюры, а в салоне — защитный чехол. Мне они очень нравятся.",positive
"Наушники супер 👍. Все как в карточке, звук, время прослушивания удобство, качество. Один минус зарядка не работает. Шнур норм, а сама зарядка нет. Все остальное на пять с плюсом",positive
"Сначала после того как подключил наушники звук мне не понравился, сильно басил и был какой то глухой. Написал продавцу и он помог мне все настроить, теперь всё работает прекрасно!! Звук довольно хороший, мне понравились!",positive
"Недобросовестный продавец! Наушники пришли с браком, перепутан правый и левый наушник, звук будто в банке. Кормила бессмысленными ответами, тянула до конца 5-го дня и не одобряла возврат. В итоге его отклонила. Продает китайские наушники за 200р с *** здесь за 1000. Подумайте прежде, чем заказывать, есть другие аналоги за эти же деньги и намного лучшего качества.",negative
Очень хорошие наушники которые подходят мне. У них компактный размер и мои наушники спасает чехол (чехол весь в песке) но единственный минус: что с шансом 50 на 50 при открывании может проиграть звук также при закрывании кейса а иногда звука просто нет ещё радует что оригинал,positive
подключился анимация на айфон есть но звук отвратный слушать не возможно как будто купил пищалки для ушей  звук отвратительный басса вообще нету не советую,positive
"Да вроде все) За свою цену хорошие наушники, звук хороший, басы присутствуют, есть анимация как в оригинале, а также имеется поиск наушников по локатору На чехле где разъем предназначен на лайтнинг, так что не подходит под тайпси, не работает провод для зарядки наушников, блок работает",positive
"Отвратительные наушники, походил с ними 10 дней решил поменять капелки резиновые, на втором наушнике пока снимал, он просто расклеился и оторвались все провода, вообще никому не советую их брать",negative
"Звук нравится, басистый! Только вот при разговоре слышно плохо и мне и тому, с кем разговариваю. Может это как то можно исправить? В остальном все супер!! Ставлю 5 звезд.",positive
"Очень замечательный продавец, решил проблему и заменил все!!! Рекомендую, всякое бывает, но редко встретишь таких честных и порядочных продавцов ❤️",positive
"Заказываю эти наушники уже второй раз себе и родственникам и очень сильно доволен ими, очень хороший микрофон и наушники в ушах просто идеально сидят! Отдельное спасибо тех.поддержке за помощь в настройке",positive
"Все , отлично пришло в полном комплекте все нравится, но быстро садится сам корпус , и шумоизоляция плохая а так все круто .",positive
"За свою цену просто 🔥 Заряд держат очень долго, даже при отрицательных температурах, бегал в них два зимних полумарафона и несколько раз длительные тренировки, до 4 часов. Качество звука отличается, конечно от Apple, но к нему привыкаешь, зато ценник почти в 20 раз ниже.",positive
"Наушники сами по себе отличные, мечта просто. Заказывала до этого их же. спустя полгода левый наушник стал работать очень очень тихо. Громкость на полную - еле слышно.а с правым все нормально. И в настройках шарилась, и чистила их, все равно так же. Вот, заказала новые. За такие деньги, я считаю, то, что наушник один перестал работать - логично. В общем, замечательные наушники, как по мне",positive
