review_id,product_id,category,category_label,rating,text,pros,cons,date
1,1,electronics,Электроника,5,"Звук не плохой, максимальная громкость высокая, крепко держатся и от них не болят уши",Отличные наушники за свои деньги,Минусов нет,2026-06-28
2,1,electronics,Электроника,5,,"Ничего. Подключалась 3 дня еле подключилась, но это ладно еще. Через три дня выпал контакт снизу из наушника видимо на сопли лепили. Итог: один наушник работает, а другой нет. Чувствительные до того что дотронуться нельзя вообще, из-за этого невозможно даже поправить наушник тут же выключается, либо переключает на другой музыкальный трек. До этого заказывала за такую же цену у другого продавца работали пол года. Я конечно понимаю что наушники дешевые, но три дня работы новых наушников- это слишком!",,2026-06-26
3,1,electronics,Электроника,5,"Сразу после первого подключения не работал второй наушник, после нескольких минут сконнектился) звук норм за эти денежки волшебный я бы сказала. И нет басов",,,2026-06-26
4,1,electronics,Электроника,1,Ничего нового наушники так и лежат не работают ребёнка отправила при получении вот и не проверили сразу щас они дома лежат,,,2026-06-23
5,2,electronics,Электроника,5,"Пока всё работает. Звук чистый, басы на месте, тач тоже четко работает (1, 2 нажатия). Подключились без проблем к Андроид. Живучесть? Покажет время. Из минусов: немного не до конца захлопывается крышка. Торчит тонюсенькая желтая линия. Будет ои это влиять на заряд? Не уверена, но поюзаю - потом дополню мб.",,,2026-07-19
6,2,electronics,Электроника,5,"Когда у тебя есть дети, не расчитывай долго пользоваться новыми наушниками.....! 😊 Опять отжали..... 😂😂😂😂 Наушники понравились сыну, пришлось отдать. Хорошие наушники, удобные и не слишком громкие, шумоподавление есть, к андроиду подключаются моментально. Если один наушник разрядился, можно убрать в коробочку для зарядки, а вторым пользоваться. Спасибо производителю за качество и доставке - за бережное отношение к заказу! Рекомендую!!! 👍",,,2026-07-16
7,2,electronics,Электроника,5,"Афигенные наушники, заказываю уже вторые потому что первые были брак, думал и эти бракованные будут но нет я удивился когда подключил, мне всё нравится",,,2026-07-13
8,3,electronics,Электроника,5,"Брала для 1 видео, думала даже работать не будут. Я была очень приятно удивлена, что они включились и даже законектились. Звук нормальный, главное не сравнивать с другими наушниками. Через неделю стали вредничать с подключением, чтобы подключить сразу два нужны танцы с бубнами, а еще упало качество звука, но несильно. Прошло уже несколько месяцев и они все еще пашут как милые",,,2026-07-18
9,3,electronics,Электроника,1,"Возврат не одобряют, бракованный товар не хотят принимать обратно","Одни минусы , ужасный товар","Не заряжаются, индикатор не горит, не красным, не зеленым, один наушник вообще не рабочий, подключение к блютус плохое.",2026-07-17
10,3,electronics,Электроника,3,Наушники слишком громкие . То что выдавали мои прошлые наушники на максимально громкости и то тише чем эти на 2 делении я когда их подключал я испугался .,,,2026-07-16
11,3,electronics,Электроника,1,,,"Левый наушник разряжается за 2 минуты, хотя правый наушники работает отлично. На зарядке стояли весь день но ничего не помогло. 1 звезда",2026-07-15
